51,76.2,628,660,118,889.8,63250.65,1134.75,112.9,28.15,505.75,
52,75.4,607,665,117.3,850,63900,1132,113.45,29,522,
53,73.95,612,638,113.8,843.8,63890,1129.95,109.3,25.6,500,
54,72,602.25,644,110.35,849,62984,1110,110,26.65,505.9,
55,71.25,595.9,634,111.5,875,61453.1,1110.5,107.45,25.6,492,
56,70.3,595.6,641.9,110.8,855,61411.6,1082,108.35,25.5,480.65,
57,70,611,655,107.9,838,60900,1050.95,108.4,26.05,509.95,
58,72.95,624.9,657.5,116.9,854.9,61580,1043.2,114,27.95,514.15,
59,73.4,658.95,664.7,118.3,893.25,63000,1064,116.25,26.85,522.5,
60,71.65,680,686.25,120.9,901,63255.75,1078.9,111,26.3,539,
61,68.85,691.5,700.05,119,909.9,63413.75,1045.95,113,26,526.05,
62,71.1,709,710,121.5,896.9,64556,1068,118.55,26.1,540,
63,72.5,706,697,121.4,895,66933.25,1036.6,119,27.05,550.1,
64,72,710,712.55,123.7,893,66789.15,1037.55,115.95,27.3,580,
65,70.95,670,710,119.1,860,64481,1040,114.5,27,569.3,
66,72.1,689.95,730.4,122.55,899.95,66870,1038.05,115.75,27.1,569.9,
67,76.05,679,739.25,126.15,916.65,68699,1080,119.85,28.8,575," "
68,75,684,740,127.6,935,69341.55,1126.65,120.6,28.9,581,
69,76,656.15,750.45,128,958.45,69900,1121.3,121.5,29.85,599.5,
70,76.95,664,745,131,964,69513.55,1116,123,28.5,613,
71,75.85,640.35,754.95,129.1,975,71200,1115.15,123.5,29.15,592,
72,77.1,640,733.5,128,937.9,69961.7,1100.3,118.5,29.25,576.05,
73,77.6,640,744.8,130.5,952,70408.3,1135,121,30,584.2,
74,79,662,759.35,131.65,965.1,71500,1163,119.1,29.6,598.55,
75,81.6,664.8,745.85,130.5,920,71199.55,1130,115.95,29.9,597.9,
76,80,627,744.85,128.1,906.55,71499,1135.6,113.25,29.4,593.25,
77,78.6,595.5,744,128.3,917,71202,1180,112,30.75,602,
78,81.55,615.45,767.8,134.15,937.55,73400.05,1184.95,113.2,32.3,601.7,
79,81.3,625,761.05,132.7,934,74116,1186,112.9,31.55,619,
80,80.9,604,756.05,131,897.2,73050,1200,109.5,32.9,621.1,
81,80.75,613.75,752,131.25,887,73461,1200.45,108.5,34.1,628.75,
82,78,619.8,752.85,132.1,899.1,73586.05,1174.1,108.6,35.4,634,
83,79.85,610.1,750,134.3,910.1,74177.05,1191.25,108.5,28,624,
84,81,607,733,130.25,915,74596.25,1195.55,103.65,27,612.6,
85,74,612.5,711.85,132.1,906,74523.4,1155,103.05,27.45,607.55,
86,75.5,616.95,710,129.4,900,74768.7,1182.5,103.85,27.65,614.45,
87,75.05,604,709,128.3,868.05,75100,1194,106.95,27.05,621,
88,74.1,593.95,710.5,129,885.7,73901.05,1185.6,105.45,26.2,617.1,
89,72.5,600,702.45,126.1,854.7,73637.95,1140.5,103.5,27.9,609,
90,72.5,593.95,679.15,125.8,833.15,73999,1125,101.8,27.15,612.5,
