Asian Paints,Wipro,Titan,SBI,L&T,Infosys,ICICI,CoalIndia,Bajaj Finance,Axis Bank
836.5,559.7,344.3,260.15,1765,1068,288,421,5374.8,562.05
851.7,565,340,253.7,1803.3,1090,290,424.4,5460,571
857.55,562.5,342.5,258.9,1780,1079,293.9,423,5442.95,567.1
884,570,323,270.7,1721,1080,305.45,441.15,5500,575
882.2,570,318.9,282.9,1781,1078,313,430.15,5700,577.05
905,564.1,317,289,1779.9,1065,314.1,444,5633.9,580.1
920,575.25,326,286.2,1778,1090.2,313.9,438.5,5565,580.5
916,572,327.8,288.25,1825,1089.45,311,432,5463,583
907.9,569.9,335,281.7,1833.75,1097,311,417.7,5535,581.05
902.15,564,330,286,1816,1098.9,310,409,5463.9,576.7
885,560,330,267.7,1794.9,1110,300.85,396,5448,573
875,579,331,259.55,1770,1147,294,371,5330.05,562.1
880,572.1,329.75,261.4,1771,1166,293.55,377.5,5374.6,567.55
896,579.7,336.45,272.05,1797.8,1150,302.6,379,5412.2,570.95
903,576,338,281.4,1788,1147,303.8,375,5400,565
900,575,335,283.1,1799.9,1166,301.5,364.9,5399,560.95
905,580,341,278.7,1800,1170,302,356,5370,551.3
879.45,575,339,263,1757.8,1141,293.7,348.8,5250,524
869,569.95,330,255,1699,1120,280.55,341,5200,500
840,550,332.5,249,1642,1096,276,338.25,4871.5,488
852.15,550,328.7,253.7,1640,1099,282,354.5,4921,499.9
870,553,326.55,251.5,1622,1090,285,362.2,5036.45,505
856.1,551.35,345.1,254,1640,1095.2,285.5,367,5105,517.25
