Mahindra,ONGC,Sun Pharma,Vedanta Ltd,Wipro,Cipla,Eicher,Hero,Infosys,ITC
608.700012,285.367004,617,294.799988,199.518997,414,7112,2700,410,222.667007
616,287.03299,630,293,199.593994,415.5,7354.950195,2719,398.562012,224.567001
611.650024,280.367004,625,289.600006,199.274994,414.75,7290,2600,398.25,222.832993
597.349976,285,646.450012,289.5,202.125,417,7251.25,2614.699951,406.125,223.966995
594.5,296.867004,646.049988,298.5,201.694,420,7300,2603.899902,405.625,224.300003
583,290.166992,633.5,298.25,198,429.899994,7300,2550,405.730988,223.233002
588.075012,280.367004,642.549988,292.399994,202.688004,426.600006,7210,2535,415,224.332993
574.75,280.933014,632.950012,291.450012,200.287994,427.200012,7215.75,2523,412.5,223.332993
580.25,296.666992,631.799988,298,200.25,427.799988,7170.700195,2585,403.75,210
583.25,296.666992,627.900024,298,199.162994,427.799988,7200,2616,405.625,212.733002
597.5,276.666992,630.099976,297.850006,199.125,427,7320,2675,402.5,210
588,277.632996,651,294,202.5,423,7419.950195,2645,400,211.332993
575.799988,278.600006,668,289.350006,205.856003,442.700012,7849.649902,2618.050049,402.5,213.733002
575,286,686.549988,292.549988,205.462006,439,7985,2625.100098,405.625,218.399994
599,284,681,300.950012,203.25,437.149994,8149,2650,401.5,217.432999
609.825012,285.933014,695,312.350006,205.125,445,8214.650391,2635,401.274994,219.667007
617.5,276.799988,707.450012,310.5,209.811996,448.899994,8649,2600,400.006012,221.466995
619.950012,283.799988,716.099976,306,205.875,449,8638,2599,408.125,222.266998
625.5,279.799988,732,310.399994,209.25,451,8430,2625,418.625,222.667007
607.5,266.200012,730,296,205.968994,443.5,8400,2568.050049,416.25,224.332993
585.549988,269.96701,721.25,295.299988,204.75,436.25,8228.650391,2531,414.375,227.033005
582.200012,268.700012,721,294.25,206.380997,432,8147.350098,2450,425.174988,230
581.575012,264.266998,746.5,293.950012,207,437,8260,2410,414.375,231.5
586.5,269.833008,737.25,289.799988,201.806,433.149994,8338.650391,2462,404.875,230.332993
602,276,746,288.450012,202.386993,432.649994,8600,2425,405,227.800003
591.5,274.733002,741.349976,298.049988,200.944,430,8586.650391,2432,407.513,228.733002
589.400024,274.833008,744.900024,299.950012,204.412994,440.299988,8695,2438.050049,406.625,228.667007
594,272.666992,750.799988,299,206.268997,444.649994,8627,2525,406.875,230
594.325012,271.333008,749,296,204.056,438.549988,8486,2535,400.625,234
592.5,273.333008,752,298.200012,209.811996,441.75,8550,2510.100098,406.125,235.667007
597.150024,271.933014,746.400024,295.200012,215.25,441,8594.549805,2564.899902,418,236
601,270,750.049988,298,198.75,441.450012,8487,2538.199951,424.875,238
606,267.333008,783,292.149994,207.056,446.950012,8594,2625,418.125,236.832993
604.349976,263.666992,785,284.799988,208.837006,440.5,8641.950195,2558,424.25,240.266998
611,265.433014,783.5,293.450012,206.268997,447,8457,2581.199951,422.5,238.667007
592.650024,262.766998,782.099976,287.399994,204,455,8431,2577.600098,418.75,237.332993
583.5,258.666992,770,280.350006,201.074997,444,8430,2610,419.375,236
593.474976,262.733002,766.349976,291.899994,206.175003,442.549988,8450,2616.5,434.5,237.332993
619.849976,269.433014,770.5,292.5,204.675003,438.899994,8410.25,2530,440.625,236.266998
619.950012,262.666992,755.299988,288.899994,205.125,435,8514,2590,437.375,230.899994
615,263.333008,744.150024,281.549988,206.587006,431,8514.650391,2574,437.5,230.167007
620,263.833008,764,271.600006,206.324997,441.399994,8584,2601,440.5,233.667007
657.5,263.100006,769.450012,278.700012,204.375,439.850006,8810,2610.25,449.875,233.132996
649.125,274,777.5,276,203.662994,446,9385,2585,445.006012,233
658.125,265.266998,805,279.399994,206.886993,439.700012,10475,2575,451,237.899994
659,274.666992,811,287.950012,204.375,447.799988,10024.900391,2514.899902,451.5,236.399994
662.974976,290.53299,813.5,299,205.050003,472.5,10049.700195,2516.949951,445.125,234
687.049988,290.132996,805,296,205.274994,474.049988,10098.700195,2547.949951,445.375,234
676.5,282.96701,845,291,206.774994,492.350006,10044,2532,444.531006,229.966995
689.950012,285.333008,853.049988,289.25,206.718994,496.399994,10048.799805,2562.949951,443.618988,230.832993
695.299988,286,860.25,290.799988,208.931,498,10000,2540,449.875,231.132996
699,286.666992,849.200012,275,209.511993,506.299988,9820,2562,452.75,233.300003
697,283.333008,865.150024,281.200012,205.5,513.700012,9871,2570,453.75,235.766998
697.224976,286,861,274.549988,209.455994,513.299988,9801,2599,453.625,234.667007
705.025024,293.233002,861,278.899994,212.25,516.299988,9808.650391,2612.100098,451.256012,238.667007
698.5,292.666992,842,282.299988,212.625,534,10161,2779.199951,450,233.667007
697.799988,300,866.400024,277,211.481003,559.900024,10251,2790,451.25,236.867004
705.849976,291.333008,864.650024,278.100006,217.481003,554,11170,2760,465.625,233.067001
703.150024,291.46701,869,276.149994,217.875,553.200012,11048,2825,466.5,233.733002
709.5,298.666992,858.099976,284.299988,218.587006,562,10920,2850,466.587006,235.332993
697.474976,305.266998,871.900024,283,222.393997,567.099976,11160,2800,468.5,234
699.549988,296.733002,860,279,220.5,578,10980,2750,463.5,238
690.5,297.666992,850,287.25,219.375,577,11100,2690,459.25,234.033005
685.575012,287.433014,815,285.200012,215.811996,578,11767.099609,2720,461,234.132996
688.5,283.333008,804,288,215.625,612.599976,12049,2750,458.125,236.300003
685.025024,281.266998,796,283.850006,213.75,632,12250,2799.649902,455.75,234.399994
689.900024,273.166992,804.900024,288.600006,210.75,623,11674,2805,459.987,235.667007
685.5,272.53299,808,282.5,211.968994,612,11400,2830,459.243988,236.733002
698,277.666992,807.900024,285,218.212006,625,11729,3001.899902,462.375,238.667007
686,269.299988,800,281.950012,219.524994,626,11594,2940,460,239.332993
684,280.666992,805,282.700012,217.218994,624,11799,2995,455.625,246.667007
673,271.266998,774.099976,279.200012,220.5,587.150024,11651,2986,453.75,247.067001
680.5,272.666992,780.150024,283.100006,222,607.349976,11551,2951.449951,456.25,251.667007
671.825012,265.666992,768.400024,271.399994,219,610.900024,11275,2925.050049,460.625,249.699997
696.849976,274.666992,808,274.5,220.574997,612,11420,2909.699951,462.625,247.132996
691.349976,269.132996,836.450012,269.100006,224.625,614.099976,11400,2860.25,468.024994,242.932999
680,273.233002,860,273.299988,224.287994,626.799988,12190,2881,465.25,246.667007
697.5,266.333008,857.150024,269.799988,230.25,629.700012,11900,2874.949951,471.162994,241.800003
680.5,264.5,827.950012,255,231.375,603.900024,11798,2802,473.125,242
688.5,271.333008,799.5,259,223.781006,589.75,11789.900391,2801,462.5,244.033005
680,272,808.099976,259.299988,217.574997,590.400024,11619,2811.5,457.5,243.067001
658.700012,268.53299,813.599976,247.300003,218.925003,591,11080,2827,486.162994,235.266998
642.5,271.367004,797.5,251.050003,221.25,574.700012,11360,2867,495.625,233.699997
637.025024,268.100006,802.900024,249.550003,217.518997,578.5,11211.599609,2852.449951,489.787994,231.332993
637.5,265.399994,801.900024,245.050003,217.481003,578.849976,11105,2874,487.513,230
611.5,264.799988,795,238.5,215.738007,575.5,11005,2890,483.112,234.600006
637.299988,286,802,236,212.625,600,11648.700195,2914.949951,481.625,236.667007
630,280,800.25,241.899994,209.625,604,11662.900391,2937.949951,481.237,234.733002
622.5,274.299988,806,251.600006,218.550003,612,11780,3026,476.162994,234.966995
636.450012,270.100006,805.400024,250.600006,206.25,629.799988,11919.700195,3120,481.25,234.167007
628.400024,264.333008,805.25,247.550003,208.274994,630,12430,3090,470.625,234.167007
644,263.733002,848,251.449997,208.369003,652.900024,12415,3104.899902,476.618988,235.266998
648.174988,261.867004,824.5,254.800003,209.25,656.25,12638,3036,487,235.399994
646.200012,266.100006,829.799988,252.5,211.875,652.700012,12638,3054.949951,498.381012,237.899994
653,270.666992,848,256.799988,213.75,670,11501.099609,3044,509.612,237.932999
635.5,270.833008,858.5,263.899994,213.375,664.900024,12800,3035,510.625,237.132996
620.299988,266.867004,852,250.050003,211.011993,657.5,13000,2920,514.786987,238.899994
620.049988,274.600006,897,248.800003,207.75,652,12769,2909,521.880981,237.332993
617.549988,263.666992,911,245.199997,210.188004,647.700012,12800,2930,520.625,246.867004
634,263.632996,921.25,244.100006,207.75,639.950012,13130,2926,515.125,242.832993
630.299988,264.299988,904.25,244,209.625,620,13445,2983,515.25,247.233002
625,257.367004,917.799988,235.800003,210.712006,615.5,13350,2930.800049,524.25,245.399994
630,262.299988,885.049988,238.699997,211.537994,609,14089,2950.050049,523.125,246
625.549988,265.132996,882.900024,236.449997,211.856003,612,13879,3042.699951,528.125,246.167007
632.5,259.333008,866.5,248.199997,213.375,611,14109,3020.199951,522.5,246.832993
625.049988,256,853,239.899994,213.375,600,14750,3009.899902,523.75,246
615.400024,255.632996,846.25,235.800003,214.875,626.450012,14767,3003.899902,521.25,246.766998
622.549988,255.332993,840,241,214.781006,627,14575,3028,525,248
625.325012,253.332993,836,237,219,619,14575,3085,536.875,249.466995
629.450012,255.466995,840.900024,236.100006,219,630,14300,3045,537.5,239
641.25,256.367004,840.099976,242.449997,217.406006,630,14300,3076,540.237,241.432999
647.5,253.5,841.950012,236.399994,219.561996,642,14350,3115,546.263,240.399994
663.474976,252.132996,853.900024,229,220.5,636.849976,14520.099609,3167,548.375,241.432999
643.049988,243.5,831,225.199997,223.125,643,14538,3257,541.237,242.932999
637.349976,240.332993,840.049988,229.5,221.850006,642,14601.599609,3240,525.375,244
648,250.332993,840,232.949997,222.656006,660,15548,3204.550049,527.5,248.699997
637.950012,248.667007,837.400024,238.850006,221.625,657.099976,15450,3233.899902,528.75,255.332993
652.25,242.966995,821,238,216.75,651,15395,3205,502.25,262.132996
625.099976,244.132996,851.599976,230.399994,213.375,651,14925,3148.100098,495.687988,265.666992
629,232.832993,835.099976,220,208.5,641,14300,3138.149902,491.5,263.833008
635,239.332993,828.099976,223,206.962006,650,14340,3177,487.75,263.333008
631.025024,233.667007,837.349976,221.449997,204.863007,644,14148,3130,484.763,264
625.049988,223.966995,839,212.899994,201.524994,641,13896,3126,476.237,263.333008
620.099976,225.266998,840,207.800003,202.125,630,14068,3130,481.424988,259.333008
604.150024,223.632996,830.25,194.100006,200.625,618,13975.200195,3120,484,251.699997
617.5,233.367004,818.5,205.100006,201.712006,609,13999,3112,488.5,252.332993
611,231.367004,816.200012,206.100006,204.149994,632,14624.900391,3097,499.399994,250.632996
612.700012,233.332993,809,213.75,208.5,621.099976,14735,3070,501.5,246.399994
636.5,238,813.5,210.050003,208.688004,619.5,14793,3114,500.212006,249.300003
633.25,235.300003,812.049988,205.899994,207.149994,635.099976,14879,3155,494,249.667007
627.125,230,804.5,204.600006,204.975006,626,14900,3118.399902,486.274994,248.600006
627,230.300003,810,209.25,205.5,623.25,15248,3119,489.013,244.733002
626.200012,230,822,216,206.25,624.5,15275,3155,490.562012,246.832993
615.150024,226.667007,819.349976,213.600006,207,625,15199.299805,3075,488.75,245.966995
619,226.832993,826.5,213.699997,207.205994,626.5,15011,3111,492.237,245.067001
615.125,229.399994,824,219.350006,207.524994,633,15450,3115,493,244.832993
610.049988,231.332993,826.099976,222.5,208.893997,626,15020,3104,502.475006,245.800003
607.5,232.367004,823,217.949997,208.125,631,15000,3098,495,245.766998
606,222,809.099976,209,203.699997,614.349976,14760,3014,491.25,238
615,228.632996,815,211.300003,208.556,615,14963,2978,496.399994,236.966995
621.400024,231.399994,820,213.899994,205.949997,624,14925.5,2998.850098,495.024994,242.067001
617.150024,234.699997,832.450012,207.050003,206.25,630.900024,14652,2988,523,238.300003
615,232,837.049988,207,208.912994,631,14900,2951,526.950012,238.932999
622.650024,226.667007,831,202,212.25,638.799988,14765,2909,524.625,239.800003
629.5,232.667007,826,188.5,210,638.900024,14990,2940,533.799988,235.399994
638.5,230,828.900024,191.600006,210.300003,641.700012,15120,2950.399902,537,238.966995
652.450012,232.733002,855,195,221.662994,652,15380,2900.050049,530,240
666.599976,234.332993,865,193.5,219.787994,661.950012,15476,2860,526.75,239.399994
669,233.432999,875,205.399994,221.100006,663,15511,2833.899902,532.875,248.632996
662.5,231.332993,885.299988,203.800003,221.25,643.5,15301,2899.949951,543.700012,235.332993
668,236.667007,921.5,203.5,224.699997,659.900024,15372,2870,550,235.632996
679.825012,233.332993,939.900024,204.800003,225.899994,687,15190,2860,555.25,233.332993
662.224976,233.332993,915,206.25,223.5,706.900024,16167,2860,537.5,240
658.25,234.667007,900,199.5,228,699.950012,16454,2860,536.25,242
650.5,234.600006,923.5,203,227.587006,699,16501,2887.550049,540.375,246.667007
632.650024,236.667007,925,199.5,229.5,698,16397,2877.949951,535.375,244.667007
621.049988,235.067001,936,201,234,695.150024,16495,2857.5,534.213013,240.966995
601.450012,244.100006,947.5,212.050003,233.699997,680.400024,16375,2770,534.974976,245
605.5,245.399994,960,215,232.856003,676.549988,15920,2811,537.700012,243.932999
588.549988,240,958.75,207.5,239.25,672,15898,2847.199951,551.25,244.067001
566.5,232.733002,926.799988,208.5,239.962006,650,15580,2750,550,247.432999
554.549988,236.667007,942,200.550003,240.375,630,15150,2715,560.75,245.399994
571.200012,236.667007,924.799988,206,242.25,640.150024,15330,2721.600098,570.125,247.367004
573.424988,230.667007,929.650024,208.899994,241.311996,641,16261,2782.350098,570.75,248
567,226.367004,928,213.25,243,661,16587,2822.399902,574.900024,247.466995
599.825012,225,918,215.050003,247.837006,670.299988,16621,2855,570.075012,252.266998
606,227.567001,919.900024,210,248.25,672.700012,16400,2705,572.638,256.666992
618.5,222.667007,922.700012,204.949997,250.875,683,17149,2677,573.5,261.96701
628.349976,222.932999,914.799988,221.899994,247.311996,686.200012,16685,2670,582.125,258.333008
627.924988,221.132996,914,218.5,243.75,678,16389,2658.899902,575,263.333008
630.5,217.399994,907,219.449997,244.688004,673,16000,2652.949951,569.75,261.333008
630,211.867004,913.5,212.550003,245.080994,679.549988,15928,2665,572.224976,265.066986
633.5,213.332993,890.099976,214.050003,248.925003,680.5,15600,2630,576.875,265.266998
627.950012,212.667007,870.150024,210.699997,246.375,662.400024,15294,2643.899902,568.724976,263.200012
647.549988,219.199997,912.099976,218.850006,247.537994,683.549988,16550,2702,575.75,238.667007
629,213.367004,937.450012,219,249.375,720,16349.5,2618.050049,572.5,229
627.5,214.966995,946.900024,225,252.093994,736,15400,2675,575,230
609.5,214.033005,1018,212.649994,247.462006,730,16100,2631,566.763,231.332993
612,211.899994,1024.349976,208.5,250.125,739.5,15875,2598.050049,564.75,229.132996
605.099976,212,1046,197.899994,244.125,740,15700,2590.100098,549.525024,226.667007
612.349976,210,1029.400024,198,246.580994,734,16020,2610.600098,548.525024,226.899994
630.150024,207.332993,1012.650024,194.649994,245.925003,719.150024,16140,2624.800049,544.75,226.033005
626.5,208.733002,1044.699951,202.100006,246.899994,725,16364.799805,2673.949951,556.25,232.199997
616,209.233002,1014.099976,195.699997,240.449997,706.150024,15920,2615.050049,552.638,227.332993
612.625,208.067001,1033,187,243.75,698.400024,15899,2645,566.661987,226.332993
615.025024,210,1043.400024,199.449997,242.625,714,15950,2652,563.625,227.5
614,206.600006,1050,195.649994,239.136993,716,16140,2696.449951,558.650024,225.667007
602.5,208.132996,1050,192.300003,239.511993,713.849976,16110,2650,560.25,222.466995
586.224976,207.332993,1036.900024,193.300003,244.761993,703.5,16089.799805,2619.949951,563.25,217.567001
587.5,207.067001,1034,191.550003,241.875,700.75,15895,2645.800049,558.724976,218.067001
596.025024,210.432999,1058,194,244.125,714.400024,15540,2626.949951,555.724976,219.100006
602.174988,207.332993,1052.800049,195,246.712006,710.5,15500,2590.050049,552,217.332993
601.599976,201.966995,1036.900024,190,239.886993,707,15590,2592,541,216
599,203.332993,1021.150024,191,232.5,695.099976,15599,2580.100098,551.400024,213.100006
601.25,210.632996,1015,190.699997,233.643997,705,16150,2649,561.25,219.199997
594,204.667007,1023.900024,190.800003,233.774994,714,15929,2639.949951,549.724976,217.233002
597.900024,205.399994,1102.699951,190.899994,235.856003,714,16094.299805,2673.899902,544.75,219.567001
621.950012,213.332993,1180,192.75,233.774994,740,15799.799805,2672.800049,543.75,227.399994
637.5,212.667007,1161.349976,197,230.25,732,16020,2637,545.625,228
637.5,209.667007,1159.900024,195,233.061996,741.700012,16700,2620,552.849976,231.266998
637,206.800003,1113,194.850006,232.593994,710,16335,2614.949951,552.549988,231.332993
641.450012,209,1120.099976,201.649994,232.087006,702,16200,2599,559.5,231.332993
